episode_number,title,published,episode_url,transcript_available,transcript_file,transcript_source
1,1. Body Shaming and Proprioceptive Fat,"18th September, 2020",https://pilates-elephants.breathe-education.com/episode/episode-1,no,,
2,2. imPostURE Syndrome,"25th September, 2020",https://pilates-elephants.breathe-education.com/episode/episode-2,no,,
3,"3. Educator, Educate Thyself","4th October, 2020",https://pilates-elephants.breathe-education.com/episode/educator,no,,
4,4. Your Brain Is A Liar,"11th October, 2020",https://pilates-elephants.breathe-education.com/episode/your-brain-is-a-liar,no,,
5,5. Good and Bad Muscles,"18th October, 2020",https://pilates-elephants.breathe-education.com/episode/good-and-bad-muscles,no,,
6,6. Is Alignment Important?,"25th October, 2020",https://pilates-elephants.breathe-education.com/episode/is-technique-important,no,,
7,7. The Dangers of Safety Culture,"1st November, 2020",https://pilates-elephants.breathe-education.com/episode/7-the-dangers-of-safety-culture,no,,
8,8. Pregnancy Elephants,"8th November, 2020",https://pilates-elephants.breathe-education.com/episode/8-pregnancy-elephants,no,,
9,9. Hands On Assists?,"15th November, 2020",https://pilates-elephants.breathe-education.com/episode/6-hands-on-assists,no,,
10,10. Fascia-nating,"22nd November, 2020",https://pilates-elephants.breathe-education.com/episode/10-fascia-nating,no,,
11,11. Nonsensical Cues,"29th November, 2020",https://pilates-elephants.breathe-education.com/episode/10-nonsensical-cues,no,,
12,12. Teaching Online,"6th December, 2020",https://pilates-elephants.breathe-education.com/episode/12-teaching-online,no,,
13,13. Cueing Elephants,"13th December, 2020",https://pilates-elephants.breathe-education.com/episode/cueing,no,,
14,14. WTF is Core Stability?,"20th December, 2020",https://pilates-elephants.breathe-education.com/episode/14-core-stability,no,,
15,"15. Industry Bodies: All Cost, No Benefit","27th December, 2020",https://pilates-elephants.breathe-education.com/episode/15-industry-bodies,no,,
16,16. Scoliosis,"3rd January, 2021",https://pilates-elephants.breathe-education.com/episode/15-scoliosis,no,,
17,17. Perfectionism and ImposTER syndrome,"10th January, 2021",https://pilates-elephants.breathe-education.com/episode/17-perfectionism-and-imposter-syndrome,no,,
18,18. Heavy weights bulk you up like a Elephant,"17th January, 2021",https://pilates-elephants.breathe-education.com/episode/18-do-heavy-springs-bulk-you-up,no,,
19,19. Can correcting foot posture fix shoulder pain?,"24th January, 2021",https://pilates-elephants.breathe-education.com/episode/can-correcting-foot-posture-fix-shoulder-pain,no,,
20,20. Navigating difficult professional conversations,"31st January, 2021",https://pilates-elephants.breathe-education.com/episode/navigating-difficult-professional-conversations,no,,
21,21. Stretching... The Truth,"7th February, 2021",https://pilates-elephants.breathe-education.com/episode/flexibility,no,,
22,22. Be Yourself,"14th February, 2021",https://pilates-elephants.breathe-education.com/episode/22-be-yourself,no,,
23,23. Hypermobility,"21st February, 2021",https://pilates-elephants.breathe-education.com/episode/22-hypermobility,no,,
24,24. Caged Lion: The John Steel Interview,"28th February, 2021",https://pilates-elephants.breathe-education.com/episode/24-caged-lion-the-john-steel-interview,no,,
25,25. Radical Candor,"7th March, 2021",https://pilates-elephants.breathe-education.com/episode/25-radical-candour,no,,
26,26. Osteoporosis,"14th March, 2021",https://pilates-elephants.breathe-education.com/episode/26-osteoporosis,no,,
27,27. Headrest Up Or Down?,"21st March, 2021",https://pilates-elephants.breathe-education.com/episode/headrest-up-or-down,no,,
28,28. How to teach movement skills with Gaby Wulf & Rebecca Lewthwaite,"28th March, 2021",https://pilates-elephants.breathe-education.com/episode/28-interview-with-gaby-wulf-rebecca-lewthwaite,no,,
29,29. Scapular Stability?,"4th April, 2021",https://pilates-elephants.breathe-education.com/episode/29-scapular-stability,no,,
30,30. Trolls Just Want to Have Fun,"11th April, 2021",https://pilates-elephants.breathe-education.com/episode/30-trolls-just-want-to-have-fun,no,,
31,31. Pilates For Athletes?,"18th April, 2021",https://pilates-elephants.breathe-education.com/episode/31-pilates-for-athletes,no,,
32,32. Becoming a Movement Optimist,"25th April, 2021",https://pilates-elephants.breathe-education.com/episode/32-becoming-a-movement-optimist,no,,
33,33. Do You Need to Be Perfect to Teach Pilates?,"2nd May, 2021",https://pilates-elephants.breathe-education.com/episode/33-do-you-need-to-be-perfect-to-teach-pilates,no,,
34,34. Does Delayed Onset Muscle Soreness Mean a More Effective Workout? with Raphael Bender and Cloe Bunter,"9th May, 2021",https://pilates-elephants.breathe-education.com/episode/34-does-delayed-onset-muscle-soreness-mean-a-more-effective-workout-with-raphael-bender-and-cloe-bunter,no,,
35,"35. Empowering Postpartum Pilates Practice, with Antony Lo","16th May, 2021",https://pilates-elephants.breathe-education.com/episode/35-empowering-postpartum-pilates-practice-with-antony-lo,no,,
36,"36. Pilates Breathing Cues, with Raphael Bender and Cloe Bunter","23rd May, 2021",https://pilates-elephants.breathe-education.com/episode/36-pilates-breathing-cues-with-raphael-bender-and-cloe-bunter,no,,
37,"37. Pilates for Spondylolisthesis, with Raphael Bender and Cloe Bunter","30th May, 2021",https://pilates-elephants.breathe-education.com/episode/37-pilates-for-spondylolisthesis-with-raphael-bender-and-cloe-bunter,no,,
38,38. What Does Pilates Do For You? with John Garey,"6th June, 2021",https://pilates-elephants.breathe-education.com/episode/38-what-does-pilates-do-for-you-with-john-garey,no,,
40,"40. Pilates Instructor Pay: What You Should be Charging, with Lesley Logan","20th June, 2021",https://pilates-elephants.breathe-education.com/episode/40-pilates-instructor-pay-what-you-should-be-charging-with-lesley-logan,no,,
41,"41. Pilates and Pregnancy: What You Need to Know About Your Pelvic Floor, with Sarah Haag","27th June, 2021",https://pilates-elephants.breathe-education.com/episode/41-pilates-and-pregnancy-what-you-need-to-know-about-your-pelvic-floor-with-sarah-haag,no,,
42,42. Is Pilates Good for Arthritis? with Raphael Bender and Cloe Bunter,"4th July, 2021",https://pilates-elephants.breathe-education.com/episode/42-is-pilates-good-for-arthritis-with-raphael-bender-and-cloe-bunter,no,,
43,"43. Where Should I Be Feeling It? Advice for Instructors and Clients, with Raphael Bender and Cloe Bunter","11th July, 2021",https://pilates-elephants.breathe-education.com/episode/43-where-should-i-be-feeling-it-advice-for-instructors-and-clients-with-raphael-bender-and-cloe-bunter,no,,
44,"44. Your Pilates Questions Answered, with Raphael Bender","18th July, 2021",https://pilates-elephants.breathe-education.com/episode/44-your-pilates-questions-answered-with-raphael-bender,no,,
45,"45. Strategies to Improve Critical Thinking Skills, with Lars Avemarie","25th July, 2021",https://pilates-elephants.breathe-education.com/episode/45-strategies-to-improve-critical-thinking-skills-with-lars-avemarie,no,,
46,"46. How To Run A Successful Pilates Studio And Make Money, with Laura Saggers","1st August, 2021",https://pilates-elephants.breathe-education.com/episode/46-owning-a-pilates-studio-is-hard-what-you-need-to-know-with-laura-saggers,no,,
47,"47. Pelvic Instability: What Pilates Instructors Need to Know, with Raphael Bender and Cloe Bunter","8th August, 2021",https://pilates-elephants.breathe-education.com/episode/47-pelvic-instability-what-pilates-instructors-need-to-know-with-raphael-bender-and-cloe-bunter,no,,
48,"48. It’s Time to Empower Pilates Instructors, with Jenna Zaffino","15th August, 2021",https://pilates-elephants.breathe-education.com/episode/48-empowering-and-inspiring-pilates-instructors-with-jenna-zaffino,no,,
49,49. Can Pilates Really Make Your Muscles Longer and Leaner?,"22nd August, 2021",https://pilates-elephants.breathe-education.com/episode/49-can-you-really-make-muscles-longer-and-leaner-with-raphael-bender-and-cloe-bunter,no,,
50,"50. Pilates for Chronic Pain, with Nick Hannah","29th August, 2021",https://pilates-elephants.breathe-education.com/episode/50-pilates-for-chronic-pain-with-nick-hannah,no,,
51,"51. Living Well With Pain, with Bronnie Lennox Thompson","5th September, 2021",https://pilates-elephants.breathe-education.com/episode/51-living-well-with-pain-with-bronnie-lennox-thompson,no,,
52,"52. How to Foster a Positive Growth Mindset, with Raphael Bender and Cloe Bunter","12th September, 2021",https://pilates-elephants.breathe-education.com/episode/52-how-to-foster-a-positive-growth-mindset-with-raphael-bender-and-cloe-bunter,no,,
53,"53. How to Legally Protect Your Fitness Business, with Cory Sterling","19th September, 2021",https://pilates-elephants.breathe-education.com/episode/53-how-to-legally-protect-your-fitness-business-with-cory-sterling,no,,
54,54. Are Big Classes Unsafe? with Raphael Bender and Cloe Bunter,"26th September, 2021",https://pilates-elephants.breathe-education.com/episode/54-are-big-classes-unsafe-with-raphael-bender-and-cloe-bunter,no,,
55,55. Physio and Rehab - Not What You Think! with Adam Meakins,"3rd October, 2021",https://pilates-elephants.breathe-education.com/episode/55-physio-and-rehab-not-what-you-think-with-adam-meakins,no,,
56,"56. Factors Which Influence Our Experience Of Pain, with Brendan Mouatt","10th October, 2021",https://pilates-elephants.breathe-education.com/episode/56-factors-which-influence-our-experience-of-pain-with-brendan-mouatt,no,,
57,"57. What Studio Owners Are REALLY Looking For When Hiring New Instructors, with Raphael Bender and Cloe Bunter","17th October, 2021",https://pilates-elephants.breathe-education.com/episode/57-what-studio-owners-are-really-looking-for-when-hiring-new-instructors-with-raphael-bender-and-cloe-bunter,no,,
58,"58. How Dance Culture Continues to Influence Pilates, with Josselyn Levinson-Dustin","24th October, 2021",https://pilates-elephants.breathe-education.com/episode/58-how-dance-culture-continues-to-influence-pilates-with-josselyn-levinson-dustin,no,,
59,59. Proper Squat Form- Does it Exist? With Raphael Bender and Cloe Bunter,"31st October, 2021",https://pilates-elephants.breathe-education.com/episode/59-proper-squat-form-does-it-exist-with-raphael-bender-and-cloe-bunter,no,,
60,"60. Pilates Body Shape: The Illusion of Perfection, with Laura Cruz","7th November, 2021",https://pilates-elephants.breathe-education.com/episode/60-pilates-body-shape-the-illusion-of-perfection-with-laura-cruz,no,,
61,"61. What it Takes to be a Serial Successful Pilates Business Owner, with James Trenerry","14th November, 2021",https://pilates-elephants.breathe-education.com/episode/61-what-it-takes-to-be-a-serial-successful-pilates-business-owner-with-james-trenerry,no,,
62,62. Can Avoiding Pain Actually Cause More Damage? With Greg Lehman,"21st November, 2021",https://pilates-elephants.breathe-education.com/episode/62-can-avoiding-pain-actually-cause-more-damage-with-greg-lehman,no,,
63,"63. Working with Adaptive Clients: Thinking Outside the Box, with Cody Jussel","28th November, 2021",https://pilates-elephants.breathe-education.com/episode/63-working-with-adaptive-clients-thinking-outside-the-box-with-cody-jussel,no,,
64,"64. Inclusive Programming & Return to Instructing Postpartum, with Alice Scott","5th December, 2021",https://pilates-elephants.breathe-education.com/episode/64-inclusive-programming-return-to-instructing-postpartum-with-alice-scott,no,,
65,65. Is Body Awareness Always a Good Thing? With Raphael Bender & Cloe Bunter,"12th December, 2021",https://pilates-elephants.breathe-education.com/episode/65-is-body-awareness-always-a-good-thing-with-raphael-bender-cloe-bunter,no,,
66,"66. Feel Comfortable & Let Go, with Sarah Michael","19th December, 2021",https://pilates-elephants.breathe-education.com/episode/66-feel-comfortable-let-go-with-sarah-michael,no,,
67,"67. Transform Yourself Through Pilates, with Dani Font","26th December, 2021",https://pilates-elephants.breathe-education.com/episode/transform-yourself-through-pilates-with-dani-font,no,,
68,68. Neutral Spine- What is it and Should We Care? with Raphael Bender & Cloe Bunter,"2nd January, 2022",https://pilates-elephants.breathe-education.com/episode/68-neutral-spine-what-is-it-and-should-we-care-with-raphael-bender-cloe-bunter,no,,
69,"69. Simple Doesn’t Mean Easy, with Heath Lander","9th January, 2022",https://pilates-elephants.breathe-education.com/episode/69-simple-doesnt-mean-easy-with-heath-lander,no,,
70,"70. Embracing Change, with Raphael Bender and Cloe Bunter","16th January, 2022",https://pilates-elephants.breathe-education.com/episode/70-embracing-change-with-raphael-bender-and-cloe-bunter,no,,
71,"71. Real Men Do Pilates, with Martin Reid, Cloe Bunter, and Raphael Bender","23rd January, 2022",https://pilates-elephants.breathe-education.com/episode/71-real-men-do-pilates-with-martin-reid,no,,
72,"72. How to Motivate Your Clients, with Nathan Ross Rees and Raphael Bender","30th January, 2022",https://pilates-elephants.breathe-education.com/episode/72-how-to-motivate-your-clients-with-nathan-ross-rees-and-raphael-bender,no,,
73,73. Is Pilates the Best Exercise for Back Pain? With Cloe Bunter and Raphael Bender,"6th February, 2022",https://pilates-elephants.breathe-education.com/episode/pe-is-pilates-better-than-other-forms-of-exercise-for-back-pain,no,,
74,"74. How to Sell Your Sessions and Build a Successful Solo Business teaching Pilates, with Laura Cruz and Raphael Bender","13th February, 2022",https://pilates-elephants.breathe-education.com/episode/74-how-to-sell-your-sessions-and-build-a-successful-solo-business-teaching-pilates-with-laura-cruz,no,,
75,"75. Pilates Pedagogy, with Kyle Marsh and Raphael Bender","20th February, 2022",https://pilates-elephants.breathe-education.com/episode/pilates-pedagogy-with-kyle-marsh-and-raphael-bender,no,,
76,"76. Helping People Change, with David Hartmann, Cloe Bunter, and Raphael Bender","27th February, 2022",https://pilates-elephants.breathe-education.com/episode/76-helping-people-change-with-david-hartmann,no,,
77,"77. The Ups and Downs of Living Your Dream, with Ashley Brien and Raphael Bender","6th March, 2022",https://pilates-elephants.breathe-education.com/episode/the-ups-and-downs-of-living-your-dream-with-ashley-brien-and-raphael-bender,no,,
78,78. What is best practice care for people with musculoskeletal pain? With Ivan Lin and Raphael Bender,"13th March, 2022",https://pilates-elephants.breathe-education.com/episode/musculoskeletal-pain,no,,
79,"79. How to start a solo Pilates business and make great money, with Jean Campbell and Raphael Bender","20th March, 2022",https://pilates-elephants.breathe-education.com/episode/79-how-to-start-a-solo-pilates-business-and-make-great-money-with-jean-campbell-and-raphael-bender,no,,
80,"80. Pilates Porn, with Anula Maiberg and Raphael Bender","27th March, 2022",https://pilates-elephants.breathe-education.com/episode/pilates-porn,no,,
81,"81. How to help people AND make money, with Dan Baker and Raphael Bender","3rd April, 2022",https://pilates-elephants.breathe-education.com/episode/help-people-and-make-money-,no,,
82,"82. How bodybuilding has influenced Pilates, with Aden O’Sullivan and Raphael Bender","10th April, 2022",https://pilates-elephants.breathe-education.com/episode/82-how-bodybuilding-has-influenced-pilates-with-aden-osullivan-and-raphael-bender,no,,
83,"83. Growing beyond your training, with Adam McAtee and Raphael Bender","17th April, 2022",https://pilates-elephants.breathe-education.com/episode/83-growing-beyond-your-training-with-adam-mcatee-and-raphael-bender,no,,
84,"84. How to create your own thing in Pilates, with John Garey and Raphael Bender","24th April, 2022",https://pilates-elephants.breathe-education.com/episode/create-your-own-thing,no,,
85,"85. Diet Culture in Pilates, with Jade Ritchi and Raphael Bender","1st May, 2022",https://pilates-elephants.breathe-education.com/episode/diet-culture,no,,
86,"86. Rediscovering your Passion for Teaching, with Natalie Wilson and Raphael Bender","8th May, 2022",https://pilates-elephants.breathe-education.com/episode/passion-for-teaching,no,,
87,"87. The tension between Unity and Change in the Pilates industry, with Amy Hedger and Raphael Bender","15th May, 2022",https://pilates-elephants.breathe-education.com/episode/unity-and-change-in-the-pilates-industry,no,,
88,"88. How to Sell Pilates Sessions Part 1, with Kylie Mones and Raphael Bender","22nd May, 2022",https://pilates-elephants.breathe-education.com/episode/how-to-sell-pilates-sessions-1,no,,
89,"89. Overcoming addiction through Pilates, with Rebecca Solberg and Raphael Bender","29th May, 2022",https://pilates-elephants.breathe-education.com/episode/overcoming-addiction-through-pilates,no,,
90,"90. Pathologizing Normal, with Natalie Wilson and Raphael Bender","5th June, 2022",https://pilates-elephants.breathe-education.com/episode/pathologizing-normal,no,,
91,"91. How to Sell Pilates Sessions Part 2, with Kylie Mones and Raphael Bender","12th June, 2022",https://pilates-elephants.breathe-education.com/episode/sell-pilates-sessions-2,no,,
92,"92. How to build your own on-demand Pilates business, with Ruth Bruno and Raphael Bender","19th June, 2022",https://pilates-elephants.breathe-education.com/episode/build-your-own-on-demand-pilates-business,no,,
93,93. Do we under-load our clients in Pilates? With Julie Driver and Raphael Bender,"26th June, 2022",https://pilates-elephants.breathe-education.com/episode/do-we-under-load-our-clients-in-pilates,no,,
94,"94. How to Get Your Clients Results, with Nathan Ross Rees and Raphael Bender","3rd July, 2022",https://pilates-elephants.breathe-education.com/episode/get-your-clients-results,no,,
95,"95. What I learned from recording 150+ podcast episodes, with Olivia Bioni and Raphael Bender","10th July, 2022",https://pilates-elephants.breathe-education.com/episode/95-what-i-learned-from-recording-150-podcast-episodes-with-olivia-bioni-and-raphael-bender,no,,
96,"96. How to Open a Pilates Studio for Zero Money Down and When to Sell It, with Phoebe Heyhoe and Raphael Bender","17th July, 2022",https://pilates-elephants.breathe-education.com/episode/open-a-pilates-studio-for-zero-money-down-and-when-to-sell-it,no,,
97,"97. Gatekeeping in Pilates, with Natalie Wilson and Raphael Bender","24th July, 2022",https://pilates-elephants.breathe-education.com/episode/gatekeeping-in-pilates,no,,
98,"98. How to make $250k/year profit from your Pilates studio, with Josh Richardson and Raphael Bender","7th August, 2022",https://pilates-elephants.breathe-education.com/episode/make-250k-year-profit-from-your-pilates-studio,yes,098-how-to-make-250k-year-profit-from-your-pilates-studio-with-josh-richardson-and-raphael-bender.txt,https://transcripts.captivate.fm/transcript/a44ac01e-d9a4-40f1-9d4a-5a2fd34fe8f9/index.html
99,"99. Move past Burnout, with Natalie Wilson and Raphael Bender","14th August, 2022",https://pilates-elephants.breathe-education.com/episode/move-past-burnout,no,,
100,"100. How Pilates is changing in the UK, with Emma-Jayne Rushby and Raphael Bender","21st August, 2022",https://pilates-elephants.breathe-education.com/episode/100-how-pilates-is-changing-in-the-uk-with-emma-jane-rushby-and-raphael-bender,no,,
101,"101. There are only 3 exercises in the world and Cat Stretch is 2 of them, with Heath Lander and Raphael Bender","28th August, 2022",https://pilates-elephants.breathe-education.com/episode/101-there-are-only-3-exercises-in-the-world-and-cat-stretch-is-2-of-them-with-heath-lander-and-raphael-bender,no,,
102,"102: Body image - a nuanced discussion, with Laura Gaiter and Raphael Bender","4th September, 2022",https://pilates-elephants.breathe-education.com/episode/body-image,no,,
103,"103. Building a personalized on-demand Pilates business, with Hannah Ryan and Raphael Bender","11th September, 2022",https://pilates-elephants.breathe-education.com/episode/building-a-personalized-on-demand-pilates-business,no,,
105,"105. How to master rehabilitation, with Heath Lander and Raphael Bender","25th September, 2022",https://pilates-elephants.breathe-education.com/episode/master-rehabilitation,no,,
106,"106. From Stuck to Living your Dream Life, with Brittany LaBotz and Raphael Bender","2nd October, 2022",https://pilates-elephants.breathe-education.com/episode/106-from-stuck-to-living-your-dream-life-with-brittany-labotz-and-raphael-bender,no,,
107,"107. Serving your ideal clients, with Naike Mouromtsev and Raphael Bender","9th October, 2022",https://pilates-elephants.breathe-education.com/episode/serving-your-ideal-clients-,no,,
108,"108. Your business can never outgrow your personal development, with Laura Saggers and Raphael Bender","16th October, 2022",https://pilates-elephants.breathe-education.com/episode/personal-development,no,,
109,"109. Pilates Through The Ages, with Heath Lander and Raphael Bender","23rd October, 2022",https://pilates-elephants.breathe-education.com/episode/pilates-through-the-ages,no,,
109,109. Do we really need to individualize Pilates programs for back pain? With Mitch Gibbs PhD and Raphael Bender,"30th October, 2022",https://pilates-elephants.breathe-education.com/episode/pilates-programs-for-back-pain,no,,
110,110. Why Do Clams? with Heath Lander and Raphael Bender,"6th November, 2022",https://pilates-elephants.breathe-education.com/episode/why-do-clams,no,,
111,"111. How what you believe influences your clients' pain and recovery, with Brendan Mouatt and Raphael Bender","13th November, 2022",https://pilates-elephants.breathe-education.com/episode/how-what-you-believe-influences-your-clients-pain-and-recovery,no,,
112,"112. How to let fires burn, with Heath Lander and Raphael Bender","20th November, 2022",https://pilates-elephants.breathe-education.com/episode/let-fires-burn,no,,
113,"113. What we were wrong about, with Daniel Arbilla and Raphael Bender","27th November, 2022",https://pilates-elephants.breathe-education.com/episode/what-we-were-wrong-about,no,,
114,114. Why do your knees go in when you squat? With Heath Lander and Raphael Bender,"4th December, 2022",https://pilates-elephants.breathe-education.com/episode/why-do-your-knees-go-in-when-you-squat,no,,
115,"115. How to use your assessment session to convert casual enquiries into long-term clients, with Amanda Dell’Aquila and Raphael Bender","11th December, 2022",https://pilates-elephants.breathe-education.com/episode/115-how-to-use-your-assessment-session-to-convert-casual-enquiries-into-long-term-clients-with-amanda-dellaquila-and-raphael-bender,no,,
116,"116. Pilates as a second career, with Loretta Mazzola and Raphael Bender","18th December, 2022",https://pilates-elephants.breathe-education.com/episode/pilates-as-a-second-career,no,,
117,"117. How to make $100k/year teaching Pilates from home, with Raphael Bender","25th December, 2022",https://pilates-elephants.breathe-education.com/episode/how-to-make-100k-year-teaching-pilates-from-home,no,,
118,118. Should we worry about anterior pelvic tilt? With Raphael Bender,"1st January, 2023",https://pilates-elephants.breathe-education.com/episode/anterior-pelvic-tilt,no,,
119,"119. How to teach beginners, with Natalie Wilson and Raphael Bender","8th January, 2023",https://pilates-elephants.breathe-education.com/episode/teach-beginners,no,,
120,"120. How to overcome your fear of self-promotion, with Raphael Bender","15th January, 2023",https://pilates-elephants.breathe-education.com/episode/overcome-your-fear-of-self-promotion,no,,
121,"121. Becoming an evidence-based Pilates instructor, with Mary Kirketerp and Raphael Bender","22nd January, 2023",https://pilates-elephants.breathe-education.com/episode/becoming-evidence-based,no,,
122,"122.  Embrace the hustle: Opening your own studio, with Taylor Gotovac and Raphael Bender","29th January, 2023",https://pilates-elephants.breathe-education.com/episode/embrace-the-hustle,no,,
123,123. Should you program your training around your menstrual cycle? With Dr Alyssa Olenick and Raphael Bender,"5th February, 2023",https://pilates-elephants.breathe-education.com/episode/menstrual-cycle-based-training,no,,
